IA Control,CCI,SRGID,STIGID,SRG Requirement,Requirement,SRG VulDiscussion,VulDiscussion,Status,SRG Check,Check,SRG Fix,Fix,Severity,Mitigation,Artifact Description,Status Justification
SC-5 (1),CCI-001094,SRG-APP-000246-CTR-000605,,The container platform must restrict individuals' ability to launch organizationally defined denial-of-service (DoS) attacks against other information systems.,"Prisma Cloud Compute Compliance policies:
ID = 5510: Limit memory usage for container
ID = 5511: Set container CPU priority appropriately
Must be enabled","The container platform will offer services to users and these services share resources available on the hosting system. To share the resources in a manner that does not exhaust or over utilize resources, it is necessary for the container platform to have mechanisms that allow developers to size there containers to provide minimum and maximum amounts. If there is no mechanism to specify limits, container services can cause DoS by over utilization.",Prisma Cloud Compute Compliance policies must be enabled to ensure running containers do not over subscribe system resources.,Applicable - Configurable,"Review the container platform implementation and security documentation and components settings to determine if the information system restricts the ability of users or systems to launch organization-defined DoS attacks against other information systems or networks from the container platform. 

If the container platform is not configured to restrict this ability, this is a finding.","If Prisma Cloud Compute does not have Compliance policies:
ID = 5510: Limit memory usage for container
ID = 5511: Set container CPU priority appropriately
this is a finding","Configure the container platform to restrict the ability of users or other systems to launch DoS attacks from the container platform components by setting resource quotas on resources such as memory, storage, and CPU utilization.","Navigate to Prisma Cloud Compute Console’s -Defend -Compliance -Containers and Images : Deployed and review the policies to ensure that: 
ID = 5510: Limit memory usage for container
ID = 5511: Set container CPU priority appropriately
are set to Block",CAT II,,https://docs.twistlock.com/docs/compute_edition/compliance/manage_compliance.html,Multiple compliance policies can be created. The policy scope will determine which rule is applied to which image/container. Rule processing is based upon the resource matching the first rule. 
SI-11 a,CCI-001312,SRG-APP-000266-CTR-000625,,The container platform must generate error messages that provide information necessary for corrective actions without revealing information that could be exploited by adversaries.,Prisma Cloud Compute must not write sensitive data to event logs.,"The container platform is responsible for offering services to users. These services could be across diverse user groups and data types. To protect information about the container platform, services, users, and data, it is important during error message generation to offer enough information to diagnose the error, but not reveal information that needs to be protected.",The determination of what is sensitive data varies from organization to organization. The organization must ensure the recipients for the event log information have a need to know and the log is sanitized based upon the audience,Applicable - Inherently Meets,"Review documentation and logs to determine if the container platform writes sensitive information such as passwords or private keys into the logs and administrative messages. 

If the container platform writes sensitive or potentially harmful information into the logs and administrative messages, this is a finding.",,Configure the container platform to not write sensitive information into the logs and administrative messages.,,CAT II,The organization must review the Prisma Cloud Compute logs to determine if the the log contains sensitive data to their organization.,,No sensitive data (i.e. user passwords) is captured in the audit logs.
AU-9 (3),CCI-001496,SRG-APP-000290-CTR-000670,,The container platform must use cryptographic mechanisms to protect the integrity of audit tools.,Prisma Cloud Compute must use cryptographic mechanisims to protect the integrity of audit tools ,"Protecting the integrity of the tools used for auditing purposes is a critical step to ensuring the integrity of audit data. Audit data includes all information (e.g., audit records, audit settings, and audit reports) needed to successfully audit information system activity.

Audit tools include, but are not limited to, vendor provided and open source audit tools needed to successfully view and manipulate audit information system activity and records. Audit tools include custom queries and report generators.

It is common for attackers to replace the audit tools or inject code into the existing tools with the purpose of providing the capability to hide or erase system activity from the audit logs.

To address this risk, audit tools must be cryptographically signed in order to provide the capability to identify when the audit tools have been modified, manipulated, or replaced. An example is a checksum hash of the file or files.",,Not Applicable ,"Review the container platform configuration to determine if the integrity of the audit tools is protected using cryptographic mechanisms. 

If audit tools are not protected through cryptographic mechanisms, this is a finding.",,Configure the container platform to use cryptographic mechanisms to protect the integrity of audit tools.,,CAT II,,,Audit data rendered within Prisma Cloud Compute is json formatted data returned via API calls. Audit data collected by audit tools can not modify the audit logs within the platform.
AC-2 (4),CCI-001683,SRG-APP-000291-CTR-000675,,The container platform must notify system administrators and ISSO when accounts are created.,Prisma Cloud Compute syslog integration must be configured. ,"Once an attacker establishes access to an application, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply create a new account. Sending notification of account creation events to the system administrator and ISSO is one method for mitigating this risk.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",The organization’s ISSO must be informed if Prisma Cloud Compute account creations.,Applicable - Configurable,"Review the container platform configuration to determine if system administrators and ISSO are notified when accounts are created. 

If system administrators and ISSO are not notified, this is a finding.",Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging if syslog or stdout is not enabled this is a finding,Configure the container platform to notify system administrators and ISSO when accounts are created.,Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging and enable syslog and/or stdout and configuration the organization’s log collection tools to route account creation events to ISSO ,CAT II,All account creation events are logged and can be viewed within the Console’s -Manage -View Logs -History interface ,https://docs.twistlock.com/docs/compute_edition/audit/logging.html,"To ensure the account creation audited event is sent the ISSO, Prisma Cloud Compute should be integrated with the organizations SIEM solution."
AC-2 (4),CCI-001684,SRG-APP-000292-CTR-000680,,The container platform must notify system administrators and ISSO when accounts are modified.,Prisma Cloud Compute syslog integration must be configured. ,"When application accounts are modified, user accessibility is affected. Accounts are utilized for identifying individual users or for identifying the application processes themselves. Sending notification of account modification events to the system administrator and ISSO is one method for mitigating this risk. Such a capability greatly reduces the risk that application accessibility will be negatively affected for extended periods of time and provides logging that can be used for forensic purposes.

To address access requirements, many operating systems can be integrated with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements.",The organization’s ISSO must be informed if Prisma Cloud Compute account modifications.,Applicable - Configurable,"Review the container platform configuration to determine if system administrators and ISSO are notified when accounts are modified. 

If system administrators and ISSO are not notified, this is a finding.",Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging if syslog or stdout is not enabled this is a finding,Configure the container platform to notify system administrators and ISSO when accounts are modified.,Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging and enable syslog and/or stdout and configuration the organization’s log collection tools to route account creation events to ISSO ,CAT II,All account modification events are logged and can be viewed within the Console’s -Manage -View Logs -History interface ,https://docs.twistlock.com/docs/compute_edition/audit/logging.html,"To ensure the account creation audited event is sent the ISSO, Prisma Cloud Compute should be integrated with the organizations SIEM solution."
AC-2 (4),CCI-001685,SRG-APP-000293-CTR-000685,,The container platform must notify system administrators and ISSO for account disabling actions.,,"When application accounts are disabled, user accessibility is affected. Accounts are utilized for identifying individual users or for identifying the application processes themselves. Sending notification of account disabling events to the system administrator and ISSO is one method for mitigating this risk. Such a capability greatly reduces the risk that application accessibility will be negatively affected for extended periods of time and provides logging that can be used for forensic purposes.

To address access requirements, many operating systems can be integrated with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements.",,Not Applicable,"Review the container platform configuration to determine if system administrators and ISSO are notified when accounts are disabled. 

If system administrators and ISSO are not notified, this is a finding.",,Configure the container platform to notify system administrators and ISSO when accounts are disabled.,,CAT II,,,"Local accounts cannot be disabled, they must be deleted"
AC-2 (4),CCI-001686,SRG-APP-000294-CTR-000690,,The container platform must notify system administrators and ISSO for account removal actions.,Prisma Cloud Compute syslog integration must be configured. ,"When application accounts are removed, user accessibility is affected. Accounts are utilized for identifying users or for identifying the application processes themselves. Sending notification of account removal events to the system administrator and ISSO is one method for mitigating this risk. Such a capability greatly reduces the risk that application accessibility will be negatively affected for extended periods of time, and provides logging that can be used for forensic purposes.

To address access requirements, many operating systems can be integrated with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements.",The organization’s ISSO must be informed if Prisma Cloud Compute account deletion.,Applicable - Configurable,"Review the container platform configuration to determine if system administrators and ISSO are notified when accounts are removed. 

If system administrators and ISSO are not notified, this is a finding.",Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging if syslog or stdout is not enabled this is a finding,Configure the container platform to notify system administrators and ISSO when accounts are removed.,Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging and enable syslog and/or stdout and configuration the organization’s log collection tools to route account creation events to ISSO ,CAT II,All account removal events are logged and can be viewed within the Console’s -Manage -View Logs -History interface ,https://docs.twistlock.com/docs/compute_edition/audit/logging.html,"To ensure the account creation audited event is sent the ISSO, Prisma Cloud Compute should be integrated with the organizations SIEM solution."
AC-12 (1),CCI-002364,SRG-APP-000297-CTR-000705,,Access to the container platform must display an explicit logout message to user indicating the reliable termination of authenticated communication sessions.,User must click the user icon in the top right corner of the UI and select “Log out”,Access to the container platform will occur through web and terminal sessions. Any web interfaces must conform to application and web security requirements. Terminal access to the container platform and its components must provide a logout facility that terminates the connection to the component or the platform.,User logon function must effectively remove all user access to the current Prisma Cloud Compute session. The user must re-authenticate to create a new authenticated session.,Applicable - Inherently Meets,"Review documentation and configuration settings to determine if the container platform displays a logout message. 

If the container platform does not display a logout message, this is a finding.",,Configure the container platform components to display an explicit logout message to users.,,CAT III,,,Clicking “Log out” from the UI will clear the users session token and will return the users to the login screen.
AC-2 (10),CCI-002142,SRG-APP-000317-CTR-000735,,The container platform must terminate shared/group account credentials when members leave the group.,"Shared/group accounts must be managed by an external identity provider (e.g. LDAP, SAML, etc.)","If shared/group account credentials are not terminated when individuals leave the group, the user that left the group can still gain access even though they are no longer authorized. A shared/group account credential is a shared form of authentication that allows multiple individuals to access the application using a single account. There may also be instances when specific user actions need to be performed on the information system without unique user identification or authentication. Examples of credentials include passwords and group membership certificates.",The use of shared/group credentials should be strictly monitored as to who has access to the accounts and their organizational responsibilities,Not Applicable,"Determine if the container platform is configured to terminate shared/group account credentials when members leave the group. 

If the container platform does not terminated shared/group account credentials when members leave the group, this is a finding.",,Configure the container platform to terminate shared/group account credentials when members leave the group.,,CAT II,Use external identity providers to enforce organizational policies associated with shared/group accounts.,,Account sharing and group accounts is the responsibility of the organization.
AC-2 (11),CCI-002145,SRG-APP-000318-CTR-000740,,The container platform must enforce organization-defined circumstances and/or usage conditions for organization-defined accounts.,"The enforcement of account usage conditions must be managed by an external identity provider (e.g. LDAP, SAML, etc.)","Activity under unusual conditions can indicate hostile activity. For example, what is normal activity during business hours can indicate hostile activity if it occurs during off hours.

Depending on mission needs and conditions, account usage restrictions based on conditions and circumstances may be critical to limit access to resources and data to comply with operational or mission access control requirements. Thus, the application must be configured to enforce the specific conditions or circumstances under which application accounts can be used (e.g., by restricting usage to certain days of the week, time of day, or specific durations of time).",Restricting when Prisma Cloud Compute can operated can mitigate the effects of a compromised account.,Not Applicable,"Determine if the container platform is configured to enforce organization-defined circumstances and/or usage conditions for organization-defined accounts. 

If the container platform does not enforce organization-defined circumstances and/or usage conditions for organization-defined accounts, this is a finding.",,Configure the container platform to enforce organization-defined circumstances and/or usage conditions for organization-defined accounts.,,CAT II,Use external identity providers to enforce organizational policies of when accounts can authenticate to Prisma Cloud Compute.,,Account time restrictions is the responsibility of the organization.
AC-2 (4),CCI-002130,SRG-APP-000319-CTR-000745,,The container platform must automatically audit account-enabling actions.,All Prisma Cloud Compute account creation events must be audited,"Once an attacker establishes access to an application, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply enable a new or disabled account. Automatically auditing account enabling actions provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",Prisma Cloud Compute account creation is an enabling action. ,Applicable - Inherently Meets,"Determine if the container platform is configured to automatically audit account-enabling actions. 

If the container platform is not configured to automatically audit account-enabling actions, this is a finding.",,Configure the container platform to automatically audit account-enabling actions.,,CAT II,Prisma Cloud Compute local accounts cannot be disabled/enabled they can only be created/deleted,,
AC-2 (4),CCI-002132,SRG-APP-000320-CTR-000750,,The container platform must notify system administrator and ISSO of account enabling actions.,Prisma Cloud Compute syslog integration must be configured. ,"Once an attacker establishes access to an application, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply enable a new or disabled account. Sending notification of account enabling events to the system administrator and ISSO is one method for mitigating this risk. Such a capability greatly reduces the risk that application accessibility will be negatively affected for extended periods of time and provides logging that can be used for forensic purposes.

In order to detect and respond to events that affect user accessibility and application processing, applications must notify the appropriate individuals so they can investigate the event.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",The organization’s ISSO must be informed if Prisma Cloud Compute account creations. A n account creation is an enabling action.,Applicable - Configurable,"Determine if the container platform is configured to notify system administrator and ISSO of account enabling actions.

If the container platform is not configured to notify system administrator and ISSO of account enabling actions, this is a finding.",Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging if syslog or stdout is not enabled this is a finding,Configure the container platform to notify system administrator and ISSO of account enabling actions.,Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging and enable syslog and/or stdout and configuration the organization’s log collection tools to route account creation events to ISSO ,CAT II,All account creation events are logged and can be viewed within the Console’s -Manage -View Logs -History interface ,https://docs.twistlock.com/docs/compute_edition/audit/logging.html,"To ensure the account creation audited event is sent the ISSO, Prisma Cloud Compute should be integrated with the organizations SIEM solution."
AC-6 (10),CCI-002235,SRG-APP-000340-CTR-000770,,"The container platform must prevent non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards/countermeasures.",Users of Prisma Cloud Compute must be assigned roles based upon their responsibilities. ,"Controlling what users can perform privileged functions prevents unauthorized users from performing tasks that may expose data or degrade the container platform. When users are not segregated into privileged and non-privileged users, unauthorized individuals may perform tasks such as deploying containers, pulling images into the register, and modify keys in the keystore. These actions can introduce malicious containers and cause denial-of-service (DoS) attacks and undermine the container platform integrity. The enforcement may take place at the container platform and can be implemented within each container platform component (e.g. runtime, registry, and keystore).",Excessive Prisma Cloud Compute role permissions could allow an attacker to create policy that would adversely affect the operation of the environment.,Applicable - Configurable,"Review documentation to obtain the definition of the container platform functionality considered privileged in the context of the information system in question. 

Review the container platform security configuration and/or other means used to protect privileged functionality from unauthorized use. 

If the configuration does not protect all of the actions defined as privileged, this is a finding.","Navigate to Prisma Cloud Compute Console’s -Manage -Authentication -Users and Group if a user or groups is assigned a role that has the ability to set vulnerability, compliance and/or runtime policy in which they do not have the organizational authority this is a finding ",Configure the container platform to security to protect all privileged functionality. Assigning roles that limit what actions a particular user can perform are the most common means of meeting this requirement.,Assign users and groups to their appropriate roles based upon the organizational structure.,CAT II,,https://docs.twistlock.com/docs/compute_edition/authentication/user_roles.html,
AC-6 (8),CCI-002233,SRG-APP-000342-CTR-000775,,Container images instantiated by the container platform must execute using least privileges.,"Prisma Cloud Compute Compliance Container Policy: 
ID = 54: Do not use privileged containers” 
ID = 599: Container is running as root
ID = 41 Image should be created with a non-root user
must be enabled","Containers running within the container platform must execute as non-privileged. When a container can execute as a privileged container, the privileged container is also a privileged user within the hosting system, and the hosting system becomes a major security risk. It is important for the container platform runtime to validate the container user and disallow instantiation if the container is trying to execute with more privileges than required, as a privileged user, or is trying to perform a privilege escalation.

When privileged access is necessary for a container, a new policy for execution should be written for the container. The default behavior must not give containers privileged execution.

Examples of privileged users are root, admin, and default service accounts for the container platform.",Prisma Cloud Compute Compliance policies must be enabled to ensure running containers run as least privileged.,Applicable - Configurable,"Review documentation and configuration to determine if the container platform disallows instantiation of containers trying to execute with more privileges than required or with privileged permissions. 

If the container platform does not block containers requesting privileged permissions, privilege escalation, or allows containers to have more privileges than required, this is a finding.","If Prisma Cloud Compute does not have Compliance policies ID = 54: Do not use privileged containers” 
ID = 599: Container is running as root
ID = 41 Image should be created with a non-root user are not configured to Block this is a finding",Configure the container platform to block instantiation with no more privileges than necessary.,"Navigate to Prisma Cloud Compute Console’s -Defend -Compliance -Containers and Images : Deployed and review the policies to ensure the Container rule ID = 54: Do not use privileged containers” 
ID = 599: Container is running as root
ID = 41 Image should be created with a non-root rules are set to Block",CAT II,,https://docs.twistlock.com/docs/compute_edition/compliance/manage_compliance.html,Multiple compliance policies can be created. The policy scope will determine which rule is applied to which image/container. Rule processing is based upon the resource matching the first rule. 
AC-6 (9),CCI-002234,SRG-APP-000343-CTR-000780,,The container platform must audit the execution of privileged functions.,Prisma Cloud Compute Kubernetes auditing must be enabled,"Privileged functions within the container platform can be component specific or can envelope the entire container platform. Because of the nature of the commands, it is important to understand what command was executed for either investigation of an incident or for debugging/error correction; therefore, privileged function execution must be audited.","The Kubernetes auditing system records the activities of users, administrators, and other components, that have affected the cluster. Prisma Cloud can ingest, analyze, and alert on security-relevant events.",Applicable - Configurable,"Review container platform documentation and log configuration to verify the application server logs privileged activity. 

If the container platform is not configured to log privileged activity, this is a finding.",Navigate to Prisma Cloud Compute Console’s -Defend -Access -Kubernetes and is Kubernetes auditing is set to “disabled” this is a finding,Configure the container platform to log privileged activity.,Set Prisma Cloud Compute Console’s -Defend -Access -Kubernetes and is Kubernetes auditing is set to “enabled.”,CAT II,,https://docs.twistlock.com/docs/compute_edition/audit/kubernetes_auditing.html,The STIG should define some default Kubernetes audit policies
AC-7 b,CCI-002238,SRG-APP-000345-CTR-000785,,The container platform must automatically lock an account until the locked account is released by an administrator when three unsuccessful login attempts in 15 minutes are exceeded.,"Prisma Cloud Compute users must be authenticated by an external identity provider (e.g. LDAP, SAML, x.509, OAuth)","By limiting the number of failed login attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute forcing, is reduced. Limits are imposed by locking the account.",Prisma Cloud Compute must employ protections to protect against brute force attacks on user accounts ,Applicable - Does Not Meet,"Determine if the container platform is configured to automatically lock an account until the locked account is released by an administrator when three unsuccessful login attempts in 15 minutes are exceeded. 

If the container platform is not configured to lock the account, this is a finding.",,Configure the container platform to automatically lock an account until the locked account is released by an administrator when three unsuccessful login attempts in 15 minutes are exceeded.,,CAT II,Use external identity providers to enforce unsuccessful logon attempts and enforce policy,,This policy cannot be enforced on local Prisma Cloud Compute accounts.
AU-4,CCI-001849,SRG-APP-000357-CTR-000800,,The container platform must allocate audit record storage capacity in accordance with organization-defined audit record storage requirements.,The node that runs Prisma Cloud Compute containers must have sufficient disk space.,"In order to ensure applications have a sufficient storage capacity in which to write the audit logs, applications need to be able to allocate audit record storage capacity.

The task of allocating audit record storage capacity is usually performed during initial installation of the application and is closely associated with the DBA and system administrator roles. The DBA or system administrator will usually coordinate the allocation of physical drive space with the application owner/installer and the application will prompt the installer to provide the capacity information, the physical location of the disk, or both.",Insufficient disk space of the compute nodes will impact the performance and effectiveness of Prisma Cloud Compute,Applicable - Inherently Meets,"Review the container platform configuration to determine if audit record storage capacity is allocated in accordance with organization-defined audit record storage requirements. 

If audit record storage capacity is not allocated in accordance with organization-defined audit record storage requirements, this is a finding.",,Configure the container platform to allocate audit record storage capacity in accordance with organization-defined audit record storage requirements.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/install/system_requirements.html,Prisma Cloud Compute system requirements specify the amount of disk space required for the Console and Defender containers.
AU-4 (1),CCI-001851,SRG-APP-000358-CTR-000805,,Audit records must be stored at a secondary location.,Prisma Cloud Compute syslog integration or log retrieval process must be implemented,"Auditable events are used in the investigation of incidents and must be protected from being deleted or altered. Often, events that took place in the past must be viewed to understand the entire incident. For the purposes of audit event protection and recall, audit events are often off-loaded to an external storage location. The container platform must provide a mechanism to assist in the off-loading of the audit data or at a minimum, must not hinder an external process used for audit event off-loading.",Retention of audit record external to Prisma Cloud Compute will ensure the integrity of the audit events,Applicable - Configurable,"Verify the log records are being off-loaded to a separate system or transferred from the container platform storage location to a storage location other than the container platform itself. 

The information system may demonstrate this capability using a log management application, system configuration, or other means. 

If logs are not being off-loaded, this is a finding.",Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging if syslog or stdout is not enabled this is a finding,Configure the container platform to off-load the logs to a remote log or management server.,Navigate to Prisma Cloud Compute Console’s -Manage - Alerts -Logging and enable syslog and/or stdout and configuration the organization’s log collection for external archival,CAT II,"Syslog integration is a configurable method to ensure audit events are externally collected.

Audit logs can be downloaded from the UI and pulled via the API to retain for archival purposes. Recommend organization develops a standard operating procedure to perform this task",https://cdn.twistlock.com/docs/api/20.12/twistlock_api.html#logs,
AU-5 (1),CCI-001855,SRG-APP-000359-CTR-000810,,The container platform must provide an immediate warning to the SA and ISSO (at a minimum) when allocated audit record storage volume reaches 75 percent of repository maximum audit record storage capacity.,The node that runs Prisma Cloud Compute containers must have sufficient disk space.,"If security personnel are not notified immediately upon storage volume utilization reaching 75 percent, they are unable to plan for storage capacity expansion.",The nodes in which Prisma Cloud Compute runs upon must be monitored for the consumption and availability of disk space,Not Applicable,"Review the container platform configuration to determine if it is configured to provide an immediate warning to the SA and ISSO (at a minimum) when allocated audit record storage volume reaches 75 percent of repository maximum audit record storage capacity. 

If the container platform is not configured to provide an immediate real-time alert, this is a finding.",,Configure the container platform to provide an immediate real-time alert to the SA and ISSO when allocated audit record storage volume reaches 75 percent of repository maximum audit record storage capacity.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/install/system_requirements.html,Prisma Cloud Compute runs as containers on virtualization nodes. It is the responsibly to the organization to ensure sufficient storage is available for the operation of Prisma Cloud Compute
AU-5 (2),CCI-001858,SRG-APP-000360-CTR-000815,,"The container platform must provide an immediate real-time alert to the SA and ISSO, at a minimum, of all audit failure events requiring real-time alerts.",Prisma Cloud Compute Alerts must be implemented.,"It is critical for the appropriate personnel to be aware if a system is at risk of failing to process audit logs as required. Without a real-time alert, security personnel may be unaware of an impending failure of the audit capability and system operation may be adversely affected.

Alerts provide organizations with urgent messages. Real-time alerts provide these messages immediately (i.e., the time from event detection to alert occurs in seconds or less).",Prisma Cloud lets the organization surface critical policy breaches by sending alerts to any number of channels. Alerts ensure that significant events are put in front of the right audience at the right time.,Applicable - Configurable,"Review the container platform configuration to determine if it is configured to provide an immediate real-time alert to the SA and ISSO of all audit failure events requiring real-time alerts. 

If the container platform is not configured to provide an immediate real-time alert, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage - Alerts, if an Alert provider does not exist for the required alerts for the SA and ISSO roles this is a finding ",Configure the container platform to provide an immediate real-time alert to the SA and ISSO of all audit failure events requiring real-time alerts.,"Navigate to Prisma Cloud Compute Console’s Manage - Alerts, create Alert providers for the required alerts for the SA and ISSO roles ",CAT II,,https://docs.twistlock.com/docs/compute_edition/alerts/alerts.html,
AU-8 b,CCI-001890,SRG-APP-000374-CTR-000865,,All audit records must use UTC or GMT time stamps.,Prisma Cloud Compute audit log time stamps must be in Coordinated Universal Time (UTC),"The container platform and its components must generate audit records using either Coordinated Universal Time (UTC) or Greenwich Mean Time (GMT) time stamps or local time that offset from UTC. All the components must use the same standard so that the events can be tied together to understand what took place within the overall container platform.

Time stamps generated by the container platform and its components must include date and time.",Time synchronization of all system and audited events within the container platform is critical for the availability and integrity of the system.,Applicable - Inherently Meets,"Review the container platform documentation and configuration files to determine if time stamps for log records can be mapped to UTC or GMT or local time that offsets from UTC. 

If the time stamp cannot be mapped to UTC or GMT, this is a finding.",Generate an audit event (e.g. create new user account) and review the associated audit in the Console’s Manage -View Logs -History if the corresponding audit does not contain the UTC time of the event this is a finding.,Configure the container platform to use UTC or GMT or local time that offset from UTC based time stamps for log records.,Ensure the system clocks of the nodes in which Prisma Cloud Compute run upon are properly configured.,CAT II,Prisma Cloud Compute Console and Defender containers use the compute node’s system clock. The organization is responsible for the correct time synchronization configuration,,Audit events are in RFC-5424 compliant format using the compute node’s system clock.
AU-8 b,CCI-001889,SRG-APP-000375-CTR-000870,,The container platform must record time stamps for audit records that meet a granularity of one second for a minimum degree of precision.,Prisma Cloud Compute audit log time stamps must contain seconds.,"To properly investigate an event, it is important to have enough granularity within the time stamps to determine the chronological order of the audited events. Without this granularity, events may be interpreted out of proper sequence, thus hobbling the investigation or causing the investigation to come to inaccurate conclusions.

Time stamps generated by the container platform include date and time. Granularity of time measurements refers to the degree of synchronization between information system clocks and reference clocks.",Time fidelity of all system and audited events within the container platform is critical for the availability and integrity of the system.,Applicable - Inherently Meets,"Review the container platform documentation and configuration files to determine if time stamps for log records meet a granularity of one second. 

If the time stamp cannot generate to a one-second granularity, this is a finding.",Generate an audit event (e.g. create new user account) and review the associated audit in the Console’s Manage -View Logs -History if the corresponding audit does not contain a seconds value this is a finding.,Configure the container platform to use time stamps for log records that can meet a granularity of one second.,Ensure the system clocks of the nodes in which Prisma Cloud Compute run upon are properly configured.,CAT II,Prisma Cloud Compute audit events are time stamped  DATE:HH:MM:SEC:MSEC,,Audit events are in RFC-5424 compliant format.
CM-11 (2),CCI-001812,SRG-APP-000378-CTR-000880,,The container platform must prohibit the installation of patches and updates without explicit privileged status.,Prisma Cloud Compute upgrade must be performed by a user with delegated rights within the orchestration engine (e.g. Kubernetes). ,Controlling access to those users and roles responsible for patching and updating the container platform reduces the risk of untested or potentially malicious software from being installed within the platform. This access may be separate from the access required to install container images into the registry and those access requirements required to instantiate an image into a service. Explicit privileges (escalated or administrative privileges) provide the regular user with explicit capabilities and control that exceeds the rights of a regular user.,Every Primsa Cloud Compute release includes the latest security updates. It is the responsibility of the organization’s container environment administrator to deploy the newer version of Prisma Cloud Compute to mitigate the vulnerabilities in the previous release.,Applicable - Inherently Meets,"Review the container platform configuration to determine if patches and updates can only be installed through accounts with privileged status. 

Attempt to install a patch or upgrade using a non-privileged user account. 

If patches or updates can be installed using a non-privileged account or the container platform is not configured to stop the installation using a non-privileged account, this is a finding.",,Configure the container platform to only allow patch installation and upgrades using privileged accounts.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/upgrade/upgrade_process_self_hosted.html,The deployment of the Defender daemonSet must be performed by the containerized environment’s administrator
CM-11 (2),CCI-001812,SRG-APP-000378-CTR-000885,,The container platform runtime must prohibit the instantiation of container images without explicit privileged status.,Container platform must explicitly authorize administrators the ability to instantiate containers,Controlling access to those users and roles responsible for container image instantiation reduces the risk of untested or potentially malicious containers from being executed within the platform and on the hosting system. This access may be separate from the access required to install container images into the registry and those access requirements required to perform patch management and upgrades within the container platform. Explicit privileges (escalated or administrative privileges) provide the regular user with explicit capabilities and control that exceeds the rights of a regular user.,,Not Applicable,"Review the container platform runtime configuration to determine if only accounts given specific container instantiation privileges can execute the container image instantiation process. 

Attempt to instantiate a container image using an account that does not have the proper privileges to execute the process. 

If container images can be instantiated using an account without the proper privileges, this is a finding.",, Configure the container platform runtime to prohibit the instantiation of container images without explicit container image instantiation privileges given to users.,,CAT I,,"https://docs.twistlock.com/docs/compute_edition/runtime_defense/runtime_defense_hosts.html


https://docs.twistlock.com/docs/compute_edition/access_control/open_policy_agent.html","
This is the responsibility for the container orchestration

Host runtime policies can be enabled to monitor the behavior of user activity on the host including docker commands, for example ‘docker run -it image’

Admission Control can we use to alert or block the creation of a Pod based upon the rules."
CM-11 (2),CCI-001812,SRG-APP-000378-CTR-000890,,The container platform registry must prohibit installation or modification of container images without explicit privileged status.,Container platform must explicitly authorize administrators the ability push images to the organization’s registry,Controlling access to those users and roles that perform container platform registry functions reduces the risk of untested or potentially malicious containers from being introduced into the platform. This access may be separate from the access required to instantiate container images into services and those access requirements required to perform patch management and upgrades within the container platform. Explicit privileges (escalated or administrative privileges) provide the regular user with explicit capabilities and control that exceeds the rights of a regular user.,,Not Applicable,"Review container platform registry security settings with respect to non-administrative users' ability to create, alter, or replace container images. 

If any such permissions exist and are not documented and approved, this is a finding.",,"Document and obtain approval for any non-administrative users who require the ability to create, alter, or replace container images within the container platform registry. Implement the approved permissions. Revoke any unapproved permissions.",,CAT II,,,Prisma Cloud Compute does not have a container registry feature.
